ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes
1714329000.0,C507014,10.0.2.10,43179,10.0.0.2,80,tcp,http,0.014991,1589,2485,SF,0,ShADadfF,11,1709,5,2605
1714329003.0,C383085,10.0.2.10,17425,10.0.0.2,8080,tcp,http,1.869042,3081,1041,SF,0,ShADadfF,15,3201,16,1161
1714329013.0,C998255,192.168.1.50,18921,192.168.1.1,443,tcp,http,2.156259,3090,7489,SF,0,ShADadfF,20,3210,4,7609
1714329021.0,C377814,10.0.1.5,56299,10.0.0.1,80,tcp,http,0.63611,4163,44404,SF,0,ShADadfF,19,4283,15,44524
1714329028.0,C237602,10.0.1.5,23548,10.0.0.2,443,tcp,http,1.118003,2734,46111,SF,0,ShADadfF,20,2854,17,46231
1714329038.0,C147854,198.51.100.5,43665,10.0.0.2,80,tcp,http,0.744398,4854,31131,SF,0,ShADadfF,17,4974,13,31251
1714329043.0,C729853,10.0.1.5,38927,10.0.0.2,80,tcp,http,1.898028,2291,7030,SF,0,ShADadfF,15,2411,15,7150
1714329053.0,C135988,10.0.1.5,24057,10.0.0.2,443,tcp,http,1.678416,1559,3645,SF,0,ShADadfF,14,1679,20,3765
1714329063.0,C509920,192.168.1.50,54381,192.168.1.1,8443,tcp,http,0.685038,729,12787,SF,0,ShADadfF,17,849,8,12907
1714329066.0,C561016,10.0.2.10,2640,192.168.1.1,8080,tcp,http,1.246509,2649,38817,SF,0,ShADadfF,15,2769,4,38937
1714329076.0,C839146,198.51.100.5,49552,10.0.0.2,80,tcp,http,2.204083,2410,47748,SF,0,ShADadfF,15,2530,4,47868
1714329082.0,C782053,192.168.1.50,26998,10.0.0.2,443,tcp,http,1.278199,1088,16666,SF,0,ShADadfF,20,1208,19,16786
1714329088.0,C381801,10.0.2.10,17499,192.168.1.1,8443,tcp,http,0.44439,4781,32543,SF,0,ShADadfF,14,4901,10,32663
1714329097.0,C114165,198.51.100.5,47045,192.168.1.1,443,tcp,http,1.405323,1580,1176,SF,0,ShADadfF,9,1700,11,1296
